Clark,Death Peak
The Bloody Beetroots,The Great Electronic Swindle
N.E.R.D.,No One Ever Really Dies
Space Surimi,Dolphin Blaster
Exquirla,Para quienes aún viven
Nightcrawler,Beware of the Humans
Soft Error,Mechanism
Hal Incandenza,Calor
Bonobo,Migration
Moon Duo,Occult Architecture Vol 1
King Gizzard & the Lizard Wizard,Flying Microtonal Banana
Blanck Mass,World Eater
Bicep,Bicep
Iglooghost,Neo Wax Bloom
St. Vincent,MASSEDUCTION
James Holden,The Animal Spirits
LCD Soundsystem,american dream
Talaboman,The Night land
Cabezafuego,Somos droga
Clara te canta,Canciones para la vida
Run the Jewels,Run the Jewels 3
The XX,I See You
Sampha,Process
Jens Lekman,Life Will See You Now
Dirty Projectors,Dirty Projectors
Stormzy,Gang Signs & Prayer
Actress,AZD
Carl Craig,Versus
Juana Molina,Halo
Mura Masa,Mura Masa
Portugal.The Man,Woodstock
Alice Glass,Alice Glass
ODESZA,A Moment Apart
The National,Sleep Well Beast
Fever Ray,Plunge
Crudo Pimento,Teleiste Mouska
Sen Senra,The Art of Self-Pressure
Vetusta Morla,"Mismo sitio, distinto lugar"
Gone is Gone,Echolocation
Nadia Rose,Highly Flammable
Frank Carter & the Rattlesnakes,Modern Ruin
Surfer Blood,Snowdonia
Fufanu,Sports
Tale of us,Endless
Queens of the Stone Age,Villains
Bomba Estéreo,Ayo
Siriusmo ,Comic
OVERWERK,State
com Truise,Iteration
La Josephine,Shelter
Anntona,Internacional
BFlecha,Kwalia
Sexy Zebras,La polla
Cuchillo de fuego,Megavedra
Delorean,Mikel Laboa
Sepultura,Machine Messiah
Sohn,Rennen
Vitalic,Voyager
Austra,Future Politics
Loyle Carner,Yesterday's Gone
Kehlani,SweetSexySavage
Duke Garwood,Garden of Ashes
Migos,Culture
Rag'n'Bone Man,Human
Talisco,Capitol Vision
VANT,DUMB BLOOD
Temples,Volcano
Spoon,Hot Thoughts
Residente,Residente
Cashmere Cat,9
Vince Staples,Big Fish Theory
Gogol bordello,Seekers and Finders
High Contrast,Night Gallery
Ibeyi,Ash
Nic Fanciulli,My Heart
Charlie XCX,Pop 2
The Meatpies,Babyrousa
Biznaga,Sentido del espectáculo
Presumido,Vendetta
Pablo Und Destruktion,Predación
La Bien Querida,Fuego
Melange,Viento Bravo
Dropkick Murphys,11 Short Stories of Pain & Glory
Wiley,Godfather
Elbow,Little Fictions
Porcelain Raft,Microclimate
Fenech-Soler,Zilla
Mick Harvey,Intoxicated Women
Dutch Uncles,Big Balloon
Little Dragon,Season High
alt-j,RELAXER
Mula,AGUAS
Omar Souleyman,"To Syria, With Love"
Princess Nokia,1992 Deluxe
The Horrors,V
